1,0.102208
2,0.106019
3,0.109869
4,0.113757
5,0.117682
6,0.121643
7,0.12564
8,0.129671
9,0.133737
10,0.137834
11,0.141965
12,0.146126
13,0.150317
14,0.154538
15,0.158785
16,0.163061
17,0.167362
18,0.171688
19,0.175664
20,0.180409
21,0.184802
22,0.189215
23,0.193648
24,0.198098
25,0.202565
26,0.207047
27,0.211543
28,0.216052
29,0.220572
30,0.225103
31,0.229641
32,0.234188
33,0.238741
34,0.243299
35,0.247859
36,0.252422
37,0.256985
38,0.261548
39,0.266108
40,0.270666
41,0.275217
42,0.279762
43,0.284299
44,0.288826
45,0.293342
46,0.297846
47,0.302337
48,0.306811
49,0.311268
50,0.315707
51,0.320126
52,0.324523
53,0.328898
54,0.333249
55,0.337573
56,0.341869
57,0.346137
58,0.350375
59,0.354581
60,0.358753
61,0.36289
62,0.366991
63,0.371054
64,0.375077
65,0.37906
66,0.383001
67,0.386899
68,0.390751
69,0.394557
70,0.398315
71,0.402023
72,0.405681
73,0.409287
74,0.41284
75,0.416338
76,0.41978
77,0.423165
78,0.426491
79,0.429758
80,0.432965
81,0.436108
82,0.439187
83,0.442203
84,0.445153
85,0.448036
86,0.450851
87,0.453596
88,0.456273
89,0.458877
90,0.461409
91,0.463869
92,0.466254
93,0.468564
94,0.470798
95,0.472955
96,0.475035
97,0.477036
98,0.478958
99,0.4808
100,0.482562
