1,0.005248
2,0.010538
3,0.01587
4,0.021244
5,0.02666
6,0.032118
7,0.037619
8,0.043162
9,0.048747
10,0.054375
11,0.060046
12,0.06576
13,0.071516
14,0.077316
15,0.083159
16,0.089045
17,0.094974
18,0.100947
19,0.106964
20,0.113024
21,0.119128
22,0.125276
23,0.131468
24,0.137704
25,0.143785
26,0.150309
27,0.156679
28,0.163093
29,0.169551
30,0.176055
31,0.182603
32,0.189196
33,0.195835
34,0.202518
35,0.209248
36,0.216022
37,0.222842
38,0.229708
39,0.23662
40,0.243578
41,0.250582
42,0.257631
43,0.264728
44,0.27187
45,0.279059
46,0.286295
47,0.293578
48,0.300907
49,0.308283
50,0.315707
51,0.323177
52,0.330695
53,0.33826
54,0.345873
55,0.353534
56,0.361242
57,0.368998
58,0.376803
59,0.384655
60,0.392556
61,0.400505
62,0.408502
63,0.416549
64,0.424643
65,0.432787
66,0.44098
67,0.449221
68,0.457513
69,0.465853
70,0.474243
71,0.482682
72,0.491171
73,0.49971
74,0.508299
75,0.516937
76,0.525626
77,0.534366
78,0.543155
79,0.551995
80,0.560886
81,0.569828
82,0.57882
83,0.587864
84,0.596959
85,0.606105
86,0.615302
87,0.624551
88,0.633851
89,0.643204
90,0.652608
91,0.662064
92,0.671572
93,0.681133
94,0.690746
95,0.700411
96,0.71013
97,0.719901
98,0.729724
99,0.739601
100,0.749531
