1	0.184824
2	0.187012
3	0.189215
4	0.191435
5	0.193671
6	0.195923
7	0.198191
8	0.200476
9	0.202777
10	0.205094
11	0.207429
12	0.209781
13	0.212149
14	0.214534
15	0.216936
16	0.219355
17	0.221792
18	0.224246
19	0.226718
20	0.229208
21	0.231715
22	0.23424
23	0.236783
24	0.239344
25	0.241923
26	0.24452
27	0.247135
28	0.249769
29	0.252422
30	0.255094
31	0.257784
32	0.260492
33	0.263221
34	0.265968
35	0.268735
36	0.271521
37	0.274326
38	0.27715
39	0.279995
40	0.282859
41	0.285743
42	0.288648
43	0.291572
44	0.294517
45	0.297482
46	0.300467
47	0.303473
48	0.306501
49	0.309549
50	0.312618
51	0.315707
52	0.318818
53	0.321951
54	0.325104
55	0.32828
56	0.331478
57	0.334696
58	0.337937
59	0.341201
60	0.344486
61	0.347794
62	0.351124
63	0.354477
64	0.357854
65	0.361252
66	0.364673
67	0.368118
68	0.371586
69	0.375077
70	0.378593
71	0.382131
72	0.385694
73	0.38928
74	0.392891
75	0.396525
76	0.400184
77	0.403868
78	0.407576
79	0.411309
80	0.415067
81	0.41885
82	0.422658
83	0.426491
84	0.430351
85	0.434235
86	0.438146
87	0.442083
88	0.446045
89	0.450034
90	0.454049
91	0.45809
92	0.462159
93	0.466254
94	0.470376
95	0.474525
96	0.478702
97	0.482906
98	0.487138
99	0.491397
100	0.495684
